Question,Type,
La Crosse WI,10
What's the overall COVID status in US,0
NY,1
IL,1
How's everything goes in Wisconsin state this week,1
Wisconsin state,1
The overall data of Illinois state,1
what's the Covid data overview in California state,1
The Covid status in Miami state,1
MN state,1
How many new case in Ohio this week,2
Show me the case trend in New York state this week,2
The case graph in South Dekota  state these days,2
The case trend in Minnesota state,2
NY new case state,2
WI new cases state,2
How many death in Alaska this week state,3
How many people died in LA these days state,3
New deaths in New Hampshire state,3
The number of new covid deaths in the South Dakota States this month state,3
"in Carolina state,how many people died this week state?",3
How many new death in MN this week state,3
what's the postive rate in  Missouri state,4
What's the test situation in Florida this week state,4
Nucleic acid detection of Iowa state,4
How many people are negative in the nucleic acid test of Arizona state in the United States,4
The proportion of children participating in nucleic acid testing in MT is in the whole state.,4
COVID Inpatient Beds Used in South Carolina,5
What's the hospital usage in NJ state,5
Are there many people in hospitals in Kansas state about COVID-19's case?,5
Are all the severe cases in COVID in  New Hampshire state hospitals old people?,5
How many doctors are there in Colorado state Hospital?,5
How's the Vaccine situation in NY state now,6
Show me the vaccination in US Pennsylvania state,6
Do we need to count the vaccination situation in Kansas state?,6
How does the vaccination rate in Louisiana state compare with other states?,6
the rate for have at least one dose vaccined in Georgia state,6
how many people inject booster in New Mexico state,6
What is the vaccination rate in Maryland state?,6
La Crosse  WI,10
Covid Level in Union of Iowa ,10
Tell me something about the Covid in Madison Wisconsin,10
The overall data of Chicago city Illinois,10
Covid going in La Crosse WI,10
What are the new case in La Crosse WI,11
How many new case in Adams of Colorado,11
How many new cases in Irion of Texas this week,11
Show me the case trend in AL Bethel this week,11
What's new case in St.Paul MN,11
New case in New York  NY state,11
New case in Tomas  Wisconsin state,11
New case in Chicago IL state,11
Death status in Washington Vermont ,12
how many death cause of Coivd in WI Clark ,12
I want to know the Test info of Valley  Idaho,13
How many postive we have in St. Charles Louisiana,13
Postive rate in Clay  Arkansas,13
Hospitality in Clay North Carolina ,14
Hospital usage in La Crosse Wisconsin ,14
ICU occupation in Davis Utah ,14
"The number of COVID-19 patients in County Nowata, Oklahoma" ,14
The number of COVID-19 patients in Bolivar county of Mississippi .,14
vaccination in La Crosse WI ,15
How many people recived boost dose in Lee Kentucky ,15
what's the vaccination rate in Lincoln Louisiana vac,15
overall data of Orange Indiana,10
how many people have full dose vaccined in Scott Indiana ,15
US,0
WI ,1
the rank of all state,7
US all state status,7
the table of all US states,7
show me the infomation of all States,7
State Rank,7
State Rank in US,7
County rank in WI state,8
Sort all the county in Wisconsin state,8
Sort the counties in New York state,8
County rank in WI state level,8
Allegany counties in New York state,10
New case in WI state,2
New case in NY state,2
New case in IL state,2
new death in la crosse WI county state,12
counties rank in WI state,8
counties rank in IL state,8
What are the new death in La Crosse  WI,12
death Madison WI,12
Rank table in NY ,8
rank all counties,9
rank all the county,9
sort all the counties from high to low,9
sort all the counties by case,9
What are death in WI death state,3
What are the new case in wisconsin case state,3
rank the county in WI,8
rank the state in US,7
vaccine in La crosse county WI vac,15

"Latest on COVID in AL?",1
"COVID situation in CT?",1
"How's COVID in HI?",1
"Update on COVID in IN?",1

"New COVID cases in KY?",2
"How many new COVID cases in MA?",2
"Case numbers for COVID in NV?",2
"Daily new cases of COVID in RI?",2

"COVID death count in UT?",3
"How many have died from COVID in VT?",3
"Total COVID deaths in AK?",3
"Number of COVID fatalities in DE?",3

"COVID testing numbers in FL?",4
"COVID tests done in GA?",4
"How's testing for COVID in MD?",4
"COVID test status in OK?",4

"Total COVID hospitalizations in OR?",5
"Hospital bed occupancy due to COVID in SC?",5
"COVID hospitalization updates in VA?",5
"COVID hospital capacity in WV?",5

"COVID vaccination rate in ID?",6
"How many people have been vaccinated in LA?",6
"How's the COVID vaccination going on in MN?",6
"Vaccine coverage for COVID in NH?",6

"Rank of US states by COVID cases?",7
"States rank in US by COVID deaths?",7
"COVID hospitalization rankings for states in US?",7
"States rank in US by COVID vaccinations?",7

"Rank of counties in CA by COVID cases?",8
"COVID case rankings for counties in TX?",8
"Counties rank in FL by COVID deaths?",8
"COVID hospitalization rankings for counties in NY?",8

"COVID rank among all US counties?",9
"All US county rankings for COVID?",9
"Ranking of all US counties by COVID cases?",9
"Overall county rank in the US for COVID?",9

"COVID situation in Monroe county, NY?",10
"Update on COVID in Dallas county, TX?",10
"COVID info for Fairfax county, VA?",10
"Current COVID data for King county, WA?",10

"New COVID cases in Clark county, NV?",11
"COVID case count in Pierce county, WA?",11
"How many new cases in Miami-Dade county, FL?",11
"Daily new cases of COVID in Harris county, TX?",11

"COVID death count in Cook county, IL?",12
"How many have died from COVID in Orange county, CA?",12
"Total COVID deaths in Suffolk county, MA?",12
"Number of COVID fatalities in Travis county, TX?",12

"COVID testing numbers in Bexar county, TX?",13
"COVID tests done in Duval county, FL?",13
"How's testing for COVID in Fulton county, GA?",13
"COVID test status in Hillsborough county, FL?",13

"Total COVID hospitalizations in Broward county, FL?",14
"Hospital bed occupancy due to COVID in Palm Beach county, FL?",14
"COVID hospitalization updates in Cuyahoga county, OH?",14
"COVID hospital capacity in Allegheny county, PA?",14

"COVID vaccination rate in Montgomery county, MD?",15
"How many people have been vaccinated in Maricopa county, AZ?",15
"How's the COVID vaccination going on in Franklin county, OH?",15
"Vaccine coverage for COVID in San Diego county, CA?",15
